,avancealas,department_name,mesas_number,mesas_percentage,mesas_total,municipality_name,no_percentage,no_votes,resaltar,si_percentage,si_votes,url,votacion_percentage,votacion_personas_number,votacion_personas_total,votosnomarcados,votosnulos,votosvalidos,idps_avg19992014
1255,16:55:15,Sucre,105,100.0, 105,San Onofre,21.98,2247.0,10.0,78.01,7973.0,http://plebiscito.registraduria.gov.co/99PL/DPL28220ZZZZZZZZZZZZ_L1.htm,25.53,10458.0,40959.0,20,121,10.220,219.125
1256,16:55:15,Sucre,446,100.0, 446,Sincelejo,45.62,31435.0,10.0,54.37,37461.0,http://plebiscito.registraduria.gov.co/99PL/DPL28001ZZZZZZZZZZZZ_L1.htm,35.93,70389.0,195898.0,96,771,68.896,3522.625
1257,16:35:15,Sucre,45,100.0, 45,Toluviejo,28.26,2060.0,6.0,71.73,5227.0,http://plebiscito.registraduria.gov.co/99PL/DPL28320ZZZZZZZZZZZZ_L1.htm,41.68,7424.0,17811.0,7,63,7.287,113.9375
1258,16:45:15,Tolima,12,100.0, 12,Alpujarra,68.97,1005.0,6.0,31.02,452.0,http://plebiscito.registraduria.gov.co/99PL/DPL29004ZZZZZZZZZZZZ_L1.htm,40.72,1517.0,3725.0,7,46,1.457,25.8666666667
1259,16:35:15,Tolima,22,100.0, 22,Alvarado,51.88,1415.0,4.0,48.11,1312.0,http://plebiscito.registraduria.gov.co/99PL/DPL29007ZZZZZZZZZZZZ_L1.htm,33.09,2787.0,8422.0,7,36,2.727,30.0
1260,16:40:15,Tolima,19,100.0, 19,Ambalema,48.07,1126.0,6.0,51.92,1216.0,http://plebiscito.registraduria.gov.co/99PL/DPL29010ZZZZZZZZZZZZ_L1.htm,34.71,2403.0,6922.0,2,47,2.342,13.5625
1261,16:30:15,Tolima,19,100.0, 19,Anzoategui,69.45,1576.0,4.0,30.54,693.0,http://plebiscito.registraduria.gov.co/99PL/DPL29013ZZZZZZZZZZZZ_L1.htm,31.65,2362.0,7462.0,9,42,2.269,84.7333333333
1262,16:55:15,Tolima,42,100.0, 42,Ataco,67.54,3451.0,8.0,32.45,1658.0,http://plebiscito.registraduria.gov.co/99PL/DPL29019ZZZZZZZZZZZZ_L1.htm,35.11,5252.0,14957.0,9,68,5.109,172.466666667
1263,17:00:15,Tolima,38,100.0, 38,Cajamarca,69.13,4084.0,8.0,30.86,1823.0,http://plebiscito.registraduria.gov.co/99PL/DPL29022ZZZZZZZZZZZZ_L1.htm,37.34,6046.0,16190.0,7,85,5.907,177.5
1264,17:00:15,Tolima,20,100.0, 20,Carmen De Apicala,64.79,2242.0,6.0,35.2,1218.0,http://plebiscito.registraduria.gov.co/99PL/DPL29025ZZZZZZZZZZZZ_L1.htm,41.47,3506.0,8453.0,0,34,3.460,12.3125
1265,16:45:15,Tolima,13,100.0, 13,Casabianca,50.82,953.0,6.0,49.17,922.0,http://plebiscito.registraduria.gov.co/99PL/DPL29028ZZZZZZZZZZZZ_L1.htm,38.98,1926.0,4940.0,5,22,1.875,25.0
1266,16:50:15,Tolima,83,100.0, 83,Chaparral,55.0,6694.0,9.0,44.99,5476.0,http://plebiscito.registraduria.gov.co/99PL/DPL29040ZZZZZZZZZZZZ_L1.htm,32.84,12516.0,38101.0,70,172,12.170,503.0625
1267,16:35:15,Tolima,21,100.0, 21,Coello,43.74,1157.0,6.0,56.25,1488.0,http://plebiscito.registraduria.gov.co/99PL/DPL29031ZZZZZZZZZZZZ_L1.htm,35.03,2701.0,7709.0,5,34,2.645,15.4666666667
1268,16:55:15,Tolima,41,100.0, 41,Coyaima,37.93,2081.0,8.0,62.06,3404.0,http://plebiscito.registraduria.gov.co/99PL/DPL29034ZZZZZZZZZZZZ_L1.htm,33.06,5685.0,17192.0,5,81,5.485,182.9375
1269,16:35:15,Tolima,19,100.0, 19,Cunday,58.51,1516.0,6.0,41.48,1075.0,http://plebiscito.registraduria.gov.co/99PL/DPL29037ZZZZZZZZZZZZ_L1.htm,36.73,2648.0,7208.0,1,31,2.591,56.875
